PRECINCT,AttGen %,Turnout %,hs_vacp,hs_ownp,hs_renp,hs_vctp
BL01,0.8815,0.3676,17.237,1.165,57.441,41.394
BL02,0.7838,0.4515,8.457,13.958,73.103,12.939
BL03,0.7791,0.4126,11.209,4.152,80.322,15.526
BL04,0.9126,0.3643,12.587,0.1,75.127,24.873
BL05,0.8571,0.4934,60.87,0.1,99.821,0.179
BL06,0.8547,0.5525,10.383,41.456,47.197,11.347
BL07,0.6701,0.0946,31.579,0.1,71.605,28.395
BL08,0.8922,0.445,14.444,21.489,72.34,6.17
BL09,0.8316,0.6291,6.375,24.672,65.576,9.752
BL10,0.869,0.7298,5.508,37.066,46.267,16.667
BL11,0.6434,0.7518,6.564,73.349,12.599,14.051
BL12,0.6034,0.749,6.222,72.441,12.375,15.184
BL13,0.7843,0.6852,5.097,55.829,34.546,9.625
BL14,0.7126,0.4509,11.139,22.997,70.834,6.169
BL15,0.6028,0.7702,6.096,76.682,21.715,1.602
BL16,0.7879,0.5469,4.789,19.573,73,7.427
BL17,0.7751,0.7344,6.082,83.333,12.018,4.649
BL18,0.8186,0.3627,44.358,0.1,83.333,16.667
BL19,0.8141,0.334,7.24,2.619,75.514,21.868
BL20,0.8303,0.2075,7.367,4.994,78.609,16.397
BL21,0.8556,0.557,4.458,14.879,80.831,4.29
BL22,0.8251,0.397,22.854,25.96,70.658,3.382
BL23,0.7446,0.3671,13.003,0.1,78.793,21.207
BL24,0.6075,0.5957,1.695,55.154,35.939,8.907
